x,y1,y2
6,54,374
13,143,740
18,1,39
26,187,565
29,96,119
38,52,269
41,13,112
43,7,36
46,14,99
54,23,212
64,253,1166
68,529,2555
72,41,375
75,7,27
82,38,284
83,17,109
84,7,51
85,150,726
88,549,2854
97,23,19
110,81,617
112,46,157
114,9,41
117,77,702
128,55,569
131,40,257
146,14,94
155,89,223
157,280,2046
160,20,87
182,67,337
194,23,276
200,162,529
205,38,88
216,285,1793
238,21,115
249,149,811
287,73,321
295,12,62
302,80,801
319,39,459
324,18,173
331,2,9
336,68,591
346,217,1273
361,62,605
369,243,1344
370,21,140
373,25,169
388,43,440
410,6,13
412,30,135
422,232,749
424,216,1174
430,340,1737
435,89,942
456,59,171
462,12,118
469,33,265
475,111,457
487,53,578
489,13,158
490,22,222
493,182,1122
500,128,978
13,68,671
18,1,7
26,34,290
41,18,220
46,0,0
72,131,798
75,70,313
82,49,317
83,37,300
85,45,201
97,47,246
110,567,3350
114,6,3
117,123,937
120,47,194
123,24,97
143,8,43
146,0,7
182,206,973
194,67,597
205,5,20
238,21,86
287,231,818
295,6,5
302,24,276
324,24,201
373,44,334
388,31,348
422,84,240
437,121,486
469,376,3154
487,438,2046
489,21,184